,title,link,content,pubDate,image_url,source_id,category
0,Krieg gegen die Ukraine: So ist die Lage,https://www.nordbayern.de/politik/krieg-gegen-die-ukraine-so-ist-die-lage-1.13120234,"Kiew - Der ukrainische Staatschef wünscht sich einen dringend benötigten Sieg der Demokratie gegen die Tyrannei. Der Kreml wiederum stellt sich auf einen langen Krieg ein. Die News im Überblick. Der ukrainische Präsident Wolodymyr Selenskyj hat nach seiner Teilnahme am virtuellen Weltgipfel für Demokratie betont, dass die Demokratie unbedingt und schnellstmöglich einen Sieg brauche. Russland bereitet sich unterdessen auf einen langen Krieg gegen die Ukraine und den Westen vor. ""Und wir alle zusammen - Ukrainer, alle Europäer, unsere amerikanischen Verbündeten, unsere Freunde auf allen Kontinenten - in Afrika, Asien, Lateinamerika, Australien - werden alles tun, um diesen Sieg näher zu bringen"", sagte Selenskyj gestern in seiner abendlichen Videoansprache. ""Den Sieg der Ukraine, den Sieg der Freiheit, den Sieg für die regelbasierte internationale Ordnung."" Die USA richteten den virtuellen Gipfel gemeinsam mit Costa Rica, den Niederlanden, Südkorea und Sambia aus. US-Präsident Joe Biden hatte schon im Dezember 2021 zu einem virtuellen Treffen dieser Art geladen. Selenskyj unterstrich Bidens führende Rolle in der Konsolidierung der demokratischen Welt. ""Und diese Einigkeit reicht, wie wir sehen, aus, um für die Freiheit zu kämpfen"", sagte er. ""Aber um den Kampf gegen die Tyrannei zu gewinnen, brauchen wir mehr Einigkeit."" Russland stellt sich nach Kremlangaben auf einen langen Krieg mit dem Westen um die Ukraine ein. ""Das ist eine Konfrontation mit feindlichen Staaten, mit unfreundlichen Ländern, das ist ein hybrider Krieg, der von ihnen gegen unser Land losgetreten wurde. Das ist für eine lange Zeit"", sagte Kremlsprecher Dmitri Peskow gestern. ""Hier brauchen wir Härte, Selbstüberzeugung, Zielstrebigkeit und Geschlossenheit um den Präsidenten."" Die Luftstreitkräfte der Ukraine benötigen nach den Worten ihres Sprechers Juri Ihnat ""dringend"" moderne Kampfflugzeuge. ""Uns helfen weder die polnischen noch tschechischen Migs, ebenso wie Mirages oder Tornados"", sagte Ihnat am Mittwoch im ukrainischen Fernsehen. Die von den Nachbarn erhaltenen Migs seien zwar eine willkommene und notwendige Verstärkung, doch benötige die Ukraine vielmehr Mehrzweckkampfflugzeuge der vierten Generation, wie etwa die amerikanische F-16. Da die Ausbildung von Piloten und Bodenpersonal an diesen Maschinen ""kein einfacher Prozess"" sei, wäre eine Entscheidung ""möglichst gestern"" nötig. Spanien will der Ukraine zehn Leopard-Panzer des älteren Typs 2A4 liefern, schließt aber die Entsendung von Kampfjets aus. Die Lieferung der ersten sechs Panzer werde in zwei Wochen erfolgen, erklärte Verteidigungsministerin Margarita Robles am Mittwoch. Nach den wiederholten russischen Angriffen mit sogenannten Kamikaze-Drohnen auf ukrainische Städte will das ukrainische Militär mit gleicher Münze zurückzahlen. Der Sekretär des Nationalen Sicherheitsrats der Ukraine, Olexij Danilow, kündigte Gegenschläge mit eigenen Drohnen an, die nach seinen Worten in einem ""Ukrainischen Schwarm Mathias Rust"" - in Erinnerung an den deutschen Kreml-Flieger - zusammengefasst seien. Dazu gebe es bereits ""mehrere tausend Drohnen mit einer Reichweite von bis zu 3000 Kilometern"", behauptete Danilow auf Twitter. Der Deutsche Privatpilot Mathias Rust war am 28. Mai 1987 mit einer einmotorigen Cessna auf der Moskwa-Brücke vor dem Kreml gelandet. Zuvor war er in Finnland gestartet und hatte die gesamte sowjetische Flugabwehr unterflogen. Rust wollte mit seiner Aktion für den Weltfrieden demonstrieren. Auf seinen Flug folgte eine Säuberungswelle in der Führungsebene des sowjetischen Militärs. Die ukrainische Militärführung räumte am Mittwoch einen russischen Teilerfolg in den Kämpfen um die Stadt Bachmut im Osten des Landes ein. ""Im Sektor Bachmut setzte der Feind seine Angriffe auf die Stadt fort, teilweise mit Erfolg"", teilte der Generalstab in Kiew in seinem täglichen Lagebericht mit. Details zu den russischen Geländegewinnen wurden jedoch nicht genannt. Die ukrainische Vize-Verteidigungsministerin Hanna Maljar gab erstmals konkretere Einblicke in die Verluste der Streitkräfte. Demnach sind die Zahlen der Toten auf russischer Seite deutlich höher als auf der ukrainischen. ""Es gibt Tage im Osten, an denen das Verhältnis der Verluste (Todesopfer) bei 1 zu 10 liegt"", teilte sie gestern auf Telegram mit. ""Das ist natürlich nicht jeden Tag der Fall, und das durchschnittliche Verhältnis ist niedriger, aber immerhin."" Das ukrainische Militär hat bisher keine Angaben zu den eigenen Verlusten seit Kriegsbeginn vor über einem Jahr gemacht. Dagegen wird eine tägliche Statistik mit den angeblichen Verlusten des russischen Militärs veröffentlicht. Demnach haben die russischen Streitkräfte bisher über 172.000 Tote zu beklagen. Das russische Militär macht seinerseits auch keine Angaben zu den eigenen Verlusten. Der britische Verteidigungsminister Ben Wallace schätzte die russischen Verluste an Toten und Verwundeten am Mittwoch auf rund 220.000 ein, wie Sky News berichtete.",2023-03-30 12:43:47,,nordbayern,['politics']
1,Putin-kritisches Kinderbild: Alleinerziehender Vater flieht vor Straflager - nun wurde er in Belarus gefasst,https://www.tz.de/politik/ukraine-krieg-russland-vater-maedchen-tochter-bild-zeichnung-heim-zu-zwei-jahren-haft-verurteilt-92177942.html?cmp=defrss,,2023-03-30 07:56:35,https://www.tz.de/bilder/2023/03/28/92177942/31334961-die-kinderzeichnung-zeigt-raketen-die-auf-eine-frau-und-ein-kind-mit-ukrainischer-flagge-gerichtet-sind-die-13-jaehrige-maria-moskaljowa-aus-dem-3m3w0rUqoL01.jpg,tz,['politics']
2,20 Jahre nach Beginn des Irakkrieges: Keine Kriegsermächtigung mehr,https://taz.de/20-Jahre-nach-Beginn-des-Irakkrieges/!5925166/,,2023-03-30 06:58:00,https://taz.de/picture/6181615/948/Irak-USA-1.jpeg,taz,['politics']
3,Kriegsverbrechen und Armenien: Putins Angst vor Den Haag,https://taz.de/Kriegsverbrechen-und-Armenien/!5921600/,,2023-03-30 06:15:00,https://taz.de/picture/6181339/948/32236971-1.jpeg,taz,['politics']
4,Verhältnis zu Russland: Armenien geht auf Distanz,https://taz.de/Verhaeltnis-zu-Russland/!5921590/,,2023-03-30 06:12:00,https://taz.de/picture/6179961/948/32004832-1.jpeg,taz,['politics']
5,Friedrich Merz wirft Olaf Scholz Fahrlässigkeit in der Migrationspolitik vor,https://www.spiegel.de/politik/deutschland/friedrich-merz-wirft-olaf-scholz-fahrlaessigkeit-in-der-migrationspolitik-vor-a-cd1f3735-ee5a-4d24-9493-2b710266bb86#ref=rss,"Die Zahl der Schutzsuchenden steigt, die Kommunen ächzen – doch laut Unionsfraktionschef Merz kümmere sich Kanzler Scholz bisher herzlich wenig. Nun plant die Union einen eigenen Flüchtlingsgipfel.",2023-03-30 05:34:14,https://cdn.prod.www.spiegel.de/images/33369860-4569-4ae7-b4b3-f6a42b54d1db_w520_r2.08_fpx37.71_fpy52.95.jpg,spiegel,['politics']
6,Annalena Baerbock setzt Aufnahmeverfahren für Afghanistan aus,https://www.spiegel.de/politik/deutschland/annalena-baerbock-setzt-aufnahmeverfahren-fuer-afghanistan-aus-a-c5d32774-3082-463a-ba4b-33710824b774#ref=rss,Nach Hinweisen auf möglichen Betrug pausiert das Außenministerium die Aufnahmeverfahren für Schutzsuchende aus Afghanistan. Zusätzliche Sicherheitsbefragungen sollen den Verdacht klären.,2023-03-30 05:09:39,https://cdn.prod.www.spiegel.de/images/768529fb-8f3b-44a3-8222-b6c05ef9099a_w520_r2.08_fpx33.89_fpy49.98.jpg,spiegel,['politics']
7,Bundeswehr verzeichnet mehr Abgänge als neue Rekruten,https://www.spiegel.de/politik/deutschland/bundeswehr-verzeichnet-mehr-abgaenge-als-neue-rekruten-a-caf06aee-68e4-45eb-bfa1-a28853aff578#ref=rss,Die Truppe schrumpft: Zum zweiten Jahr in Folge haben mehr Soldatinnen und Soldaten die Bundeswehr verlassen als neue dazukamen. Immer mehr quittieren den Dienst sogar vorzeitig.,2023-03-30 04:57:03,https://cdn.prod.www.spiegel.de/images/a8b12e53-0001-0004-0000-000001493720_w520_r2.08_fpx60.11_fpy45.jpg,spiegel,['politics']
8,Bundestag: Union wirft Ampel Nichtstun im Parlament vor,https://www.spiegel.de/politik/deutschland/bundestag-union-wirft-ampel-nichtstun-im-parlament-vor-a-d84536a9-0d9f-4765-b8ad-dfad8278ebe8#ref=rss,"Aus Sicht der Unionsfraktion kommt die Ampel ihrem Auftrag im Bundestag nicht nach: Sie wirft der Koalition vor, das Plenum auszutrocknen. CDU und CSU haben auch einen Grund dafür ausgemacht.",2023-03-30 04:53:38,https://cdn.prod.www.spiegel.de/images/157eb137-ac04-437a-80fa-e676f335d4b1_w520_r2.08_fpx29.99_fpy45.jpg,spiegel,['politics']
9,"Studie zeigt klare Ergebnisse: Das passiert, wenn die Polizeistationen vor Ort geschlossen wird",https://www.businessinsider.de/politik/studie-zeigt-klare-ergebnisse-das-passiert-wenn-die-polizeistationen-vor-ort-geschlossen-wird/?utm_source=rss&utm_medium=rss&utm_campaign=studie-zeigt-klare-ergebnisse-das-passiert-wenn-die-polizeistationen-vor-ort-geschlossen-wird,,2023-03-30 04:43:32,https://cdn.businessinsider.de/wp-content/uploads/2023/03/GettyImages-171575892-800x536.jpg?ver=1679489237,businessinsider_de,['politics']
